idcar_200m;i_est_200;lcog_geo;noeud_delegue;lon_mid;lat_mid;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_av45;log_45_70;log_70_90;log_ap90;log_inc;log_soc;ind_0_3;ind_4_5;ind_6_10;ind_11_17;ind_18_24;ind_25_39;ind_40_54;ind_55_64;ind_65_79;ind_80p;ind_inc
CRS3035RES200mN2728000E3606200;1;3720537014;262;0.53578055;47.254784;20;8.8;0.8;2.3;0.4;6.9;0;588058.9;875;0;8.8;2.3;1.2;1.5;3.8;0;0;0.8;0;0.4;1.1;1.5;3.5;2.7;3.1;4.6;2.3;0
CRS3035RES200mN2728000E3606400;0;37205;121;0.5384037;47.255013;37;15;3;6;1;11;0;864958;1291;0;15;10;1;2;2;0;0;4;2;3;0;4;8;4;5;6;1;0
CRS3035RES200mN2728000E3607000;1;37205;11;0.5462732;47.2557;2;1.1;0.2;0.5;0;0.9;0.1;50445.4;116.9;0;1.1;0.7;0.1;0.1;0.2;0;0;0.1;0;0.1;0.1;0.1;0.3;0.5;0.3;0.4;0.1;0
CRS3035RES200mN2728000E3608200;1;37205;471;0.56201285;47.257072;6;2.1;0.1;0.3;0.1;1.6;0.1;139520.7;228.2;0;2.1;0.5;0.1;0.4;1.1;0;0;0.2;0.1;0.5;0.7;0.7;0.9;1.4;1;0.4;0.1;0
CRS3035RES200mN2728000E3612800;1;3700637159;824;0.62235504;47.26232;5;2.1;0.1;0.7;0.3;1.8;0.2;139044.6;226;0;2.1;1.4;0.1;0.4;0.2;0;0;0.2;0;0.1;0.5;0.1;1.4;0.9;0.9;0.6;0.3;0
CRS3035RES200mN2728000E3615800;1;37159;193;0.6617146;47.265728;4;1.1;0.1;0.1;0.1;0.9;0;97097.9;123;0;1.1;0.2;0;0.4;0.5;0;0;0.1;0;0.3;0.4;0.6;0.5;1.6;0.3;0.2;0;0
CRS3035RES200mN2728000E3616200;1;37159;129;0.6669629;47.266182;3;1;0;0.2;0.1;1;0;80305.7;98.1;0;1;0.1;0;0.4;0.5;0;0;0;0;0.3;0.4;0.2;0.5;0.6;0.5;0.3;0.2;0
CRS3035RES200mN2728000E3619400;1;37250;523;0.7089522;47.269794;27;9.8;1.4;1.8;1.1;8.2;0.9;640029.7;1211.8;0.4;9.4;3.2;0.2;2.3;4.1;0;0;1.6;0.9;1.5;4.2;1.8;3.7;6.4;3;1.8;2.1;0
CRS3035RES200mN2728000E3619600;1;37250;81;0.7115767;47.27002;30;10.9;1.5;2;1.3;9.2;1;711144.1;1346.4;0.5;10.4;3.6;0.2;2.5;4.6;0;0;1.8;1;1.7;4.7;2;4.1;7.1;3.3;2;2.3;0
CRS3035RES200mN2728000E3621400;1;37266;846;0.7351982;47.272045;29;10.5;0.4;1.8;0.8;8.9;1;821378;1192;0;10.5;2;0.6;4.7;3.2;0;0;1.6;0.2;0.8;2.8;3;3.5;7.3;5.1;3.9;0.8;0
CRS3035RES200mN2728000E3627000;0;37104;818;0.8086979;47.278313;39;11;0;1;3;11;0;1298271.7;1711;0;11;0;0;0;11;0;0;1;1;5;5;4;4;12;3;4;0;0
CRS3035RES200mN2728000E3627400;1;37104;878;0.81394845;47.27876;3;1.3;0;0.3;0;1.3;0;82818.9;169.2;0;1.3;0;0.1;0.8;0.4;0;0;0.1;0.1;0.2;0.1;0.1;0.5;0.5;0.4;0.7;0.3;0
CRS3035RES200mN2728000E3627600;1;37104;30;0.8165738;47.27898;9;4;0;0.9;0;3.9;0;248456.7;507.7;0;4;0;0.3;2.6;1.1;0;0;0.1;0.3;0.6;0.4;0.3;1.6;1.4;1.3;2.1;0.9;0
CRS3035RES200mN2728000E3627800;1;37104;589;0.81919914;47.279205;7;3.1;0;0.7;0;3;0;193244.1;394.9;0;3.1;0;0.2;2;0.9;0;0;0.1;0.2;0.5;0.3;0.2;1.2;1.1;1;1.7;0.7;0
CRS3035RES200mN2728000E3629000;1;37263;195;0.83495164;47.28054;6;2.5;0.3;0.6;0.1;1.7;0.3;131324;210.7;0.5;2;0.7;0.2;0.6;1;0;0;0.2;0.1;0.6;0.3;0.7;1.6;0.9;0.6;1;0;0
CRS3035RES200mN2728200E3599200;1;37067;245;0.4436548;47.248493;3;1.6;0.1;0.5;0;1.3;0.1;73497.8;158.7;0;1.6;0.6;0.1;0.8;0.1;0;0;0.1;0;0;0.2;0;0.3;0.7;0.7;0.6;0.4;0
CRS3035RES200mN2728200E3599600;1;37067;437;0.4488998;47.248955;4;2.1;0.2;0.7;0;1.7;0.2;97997;211.6;0;2.1;0.8;0.2;1;0.1;0;0;0.1;0;0;0.3;0;0.4;0.9;0.9;0.9;0.5;0
CRS3035RES200mN2728200E3600800;1;37067;17;0.4646353;47.250343;4;1.8;0.2;0.4;0.1;1.7;0.2;96257.1;181.2;0;1.8;0.1;0.4;1;0.3;0;0;0.1;0;0.2;0.3;0.1;0.4;0.7;0.4;1.1;0.7;0
CRS3035RES200mN2728200E3604400;1;3701437205;753;0.51184636;47.254498;2;1;0.2;0.4;0;0.8;0.1;49900.2;109.8;0.1;0.9;0.7;0;0;0.3;0;0;0;0;0;0.1;0.2;0.3;0.4;0.5;0.2;0.3;0
CRS3035RES200mN2728200E3604600;1;3701437205;629;0.5144694;47.254726;6;3;0.8;1;0;2.4;0.3;149700.6;329.2;0.3;2.7;2.1;0;0.1;0.8;0;0;0.1;0;0.2;0.3;0.5;0.9;1.3;1.3;0.5;0.9;0
CRS3035RES200mN2728200E3604800;1;3701437205;107;0.51709247;47.254955;5;2.5;0.6;0.9;0;2;0.2;124750.5;274.4;0.2;2.3;1.8;0;0.1;0.6;0;0;0.1;0;0.1;0.2;0.4;0.8;1.1;1.1;0.4;0.8;0
CRS3035RES200mN2728200E3605000;1;37014;995;0.51971555;47.255188;10;5;1.2;1.8;0;4;0.5;249501;548.8;0.5;4.5;3.5;0;0.2;1.3;0;0;0.2;0;0.2;0.5;0.7;1.5;2.3;2.3;0.8;1.5;0
CRS3035RES200mN2728200E3605400;1;37014;902;0.52496177;47.255646;5;2.5;0.6;0.9;0;2;0.2;124750.5;274.4;0.2;2.3;1.8;0;0.1;0.6;0;0;0.1;0;0.1;0.2;0.4;0.8;1.1;1.1;0.4;0.8;0
CRS3035RES200mN2728200E3606200;1;3720537014;908;0.53545445;47.256565;5;2.2;0.2;0.6;0.1;1.7;0;147014.7;218.8;0;2.2;0.6;0.3;0.4;0.9;0;0;0.2;0;0.1;0.3;0.4;0.8;0.7;0.8;1.1;0.6;0
CRS3035RES200mN2728200E3606400;1;37205;910;0.53807765;47.256794;6;2.7;0.2;0.7;0.1;2.1;0;176417.7;262.5;0;2.7;0.7;0.3;0.5;1.2;0;0;0.2;0;0.1;0.4;0.5;1;0.8;0.9;1.4;0.7;0
CRS3035RES200mN2728200E3606600;1;37205;389;0.5407009;47.257023;3;1.3;0.1;0.3;0.1;1;0;88208.8;131.2;0;1.3;0.3;0.2;0.2;0.6;0;0;0.1;0;0.1;0.2;0.2;0.5;0.4;0.5;0.7;0.3;0
CRS3035RES200mN2728200E3607000;1;37205;435;0.5459475;47.257484;1;0.6;0.1;0.2;0;0.4;0.1;25222.7;58.5;0;0.6;0.4;0;0.1;0.1;0;0;0;0;0;0;0;0.2;0.3;0.2;0.2;0.1;0
CRS3035RES200mN2728200E3607200;1;37205;311;0.5485708;47.257713;20;11.1;1.6;4.7;0;8.9;1.1;504453.9;1169.5;0;11.1;7.4;0.5;1.1;2.1;0;0;1;0;1;0.5;0.5;3.2;5.3;3.2;4.2;1.1;0
CRS3035RES200mN2728200E3609000;0;37186;615;0.5721815;47.259773;49;21;3;3;0;18;5;1193821.5;2365;0;21;1;5;6;9;0;0;1;0;1.5;9.5;2;3;13;8;11;0;0
CRS3035RES200mN2728200E3609200;0;37186;883;0.574805;47.260002;57.5;24;5;8;3;15;5;1484610.5;2617;4;20;18;1;1;4;0;0;2;3;7;2.5;9;10;13;5;6;0;0
CRS3035RES200mN2728200E3609600;1;3700637186;69;0.58005214;47.26046;2;0.7;0;0.2;0;0.7;0.1;54357.5;91.8;0;0.7;0.4;0;0.1;0.2;0;0;0.2;0;0.2;0.2;0.1;0.5;0.3;0.3;0.1;0.1;0
CRS3035RES200mN2728200E3610800;1;37006;669;0.5957939;47.26183;7;3.2;0.3;1;0.1;2.9;0.1;185543.9;353;0;3.2;2;0.1;0.7;0.4;0;0;0.3;0.1;0.2;0.6;0.4;0.9;1.6;1.4;1;0.5;0
CRS3035RES200mN2728200E3611000;1;37006;447;0.59841764;47.26206;3;1.4;0.1;0.4;0;1.3;0.1;79518.8;151.3;0;1.4;0.9;0.1;0.3;0.1;0;0;0.1;0;0.1;0.3;0.2;0.4;0.7;0.6;0.4;0.2;0
CRS3035RES200mN2728200E3611400;1;37006;890;0.6036651;47.262512;4;1.8;0.2;0.5;0;1.7;0.1;106025.1;201.7;0;1.8;1.1;0.1;0.4;0.2;0;0;0.2;0.1;0.1;0.4;0.2;0.5;0.9;0.8;0.5;0.3;0
CRS3035RES200mN2728200E3611600;1;37006;279;0.60628885;47.26274;3;1.4;0.1;0.4;0;1.3;0.1;79518.8;151.3;0;1.4;0.9;0.1;0.3;0.1;0;0;0.1;0;0.1;0.3;0.2;0.4;0.7;0.6;0.4;0.2;0
CRS3035RES200mN2728200E3611800;1;37006;255;0.60891265;47.26297;2;0.9;0.1;0.3;0;0.8;0;53012.5;100.9;0;0.9;0.6;0;0.2;0.1;0;0;0.1;0;0.1;0.2;0.1;0.2;0.4;0.4;0.3;0.2;0
CRS3035RES200mN2728200E3612800;1;3700637159;505;0.62203187;47.264107;6;2.5;0.1;0.8;0.4;2.1;0.2;166853.5;271.2;0;2.5;1.7;0.1;0.5;0.2;0;0;0.2;0.1;0.2;0.6;0.1;1.6;1.1;1.1;0.7;0.3;0
CRS3035RES200mN2728200E3613000;1;3715937006;290;0.6246558;47.264336;29;9.1;0;1.1;0.9;8.7;0.7;834582.8;1113.8;0;9.1;2.4;0.2;0.9;5.6;0;0;1.1;0.7;2.7;4.5;2.2;3.1;8.9;3.1;1.4;1.1;0.2
CRS3035RES200mN2728200E3613200;1;37159;399;0.62727976;47.26456;6;1.9;0;0.2;0.2;1.8;0.1;172672.3;230.4;0;1.9;0.5;0;0.2;1.2;0;0;0.2;0.1;0.6;0.9;0.5;0.6;1.9;0.7;0.3;0.2;0
CRS3035RES200mN2728200E3614200;1;37159;273;0.6403997;47.265697;10;4.2;0;0.4;0.2;3.2;0.4;280796.5;463.3;0.9;3.3;1.6;0.2;1.9;0.5;0;0;0.7;0;0.2;0.7;0.3;1.8;2.3;1.2;2.5;0.3;0
CRS3035RES200mN2728200E3618800;1;37250;472;0.7007583;47.2709;2;0.7;0.1;0.1;0.1;0.6;0.1;47409.6;89.8;0;0.7;0.2;0;0.2;0.3;0;0;0.1;0.1;0.1;0.3;0.1;0.3;0.5;0.2;0.1;0.2;0
CRS3035RES200mN2728200E3619600;1;3725037154;935;0.7112565;47.271805;5;1.8;0.3;0.3;0.2;1.5;0.2;118524;224.4;0.1;1.7;0.6;0;0.4;0.8;0;0;0.3;0.2;0.3;0.8;0.3;0.7;1.2;0.5;0.3;0.4;0
