;geometry
0;0.584794;47.4003666
1;0.5851061;47.4001647
2;0.6060531;47.4084379
3;0.5999261;47.4017751
4;0.6101446;47.4077946
5;0.611033;47.4085536
6;0.6076828;47.4089793
7;0.5904292;47.4025653
8;0.5908826;47.4016228
9;0.5911843;47.4026643
10;0.59147;47.4016934
11;0.5782186;47.4054711
12;0.6120364;47.4082603
13;0.5931377;47.3903473
14;0.5933833;47.3903429
15;0.6040414;47.4092067
16;0.5932275;47.3904963
17;0.5895462;47.3895425
18;0.6090986;47.4076466
19;0.6029538;47.4086738
20;0.5957268;47.3987538
21;0.5932684;47.4028708
22;0.6010214;47.404527
23;0.5842078;47.4021653
24;0.5842889;47.4019827
25;0.5969734;47.4050105
26;0.5955727;47.4138137
27;0.5977336;47.4056084
28;0.6061128;47.3994408
29;0.5846772;47.4016263
30;0.5848594;47.4013496
31;0.5846373;47.4019194
32;0.5845871;47.4019781
33;0.6116499;47.4107622
34;0.6121767;47.4103485
35;0.5903649;47.4038666
36;0.6131813;47.4095561
37;0.6085917;47.4078966
38;0.5871257;47.4010104
39;0.6033486;47.4097047
40;0.5953056;47.4139618
41;0.5969827;47.4079375
42;0.5967152;47.4083831
43;0.593268;47.4046078
44;0.5934767;47.4047258
45;0.5933989;47.4042789
46;0.6024084;47.4100975
47;0.5834739;47.4083052
48;0.6084935;47.4078279
49;0.6129139;47.4083814
50;0.6195147;47.4058897
51;0.6076951;47.4074348
52;0.6005271;47.4074715
53;0.6078152;47.4074763
54;0.619603;47.405896
55;0.6011711;47.4076226
56;0.6125372;47.4079556
57;0.5896329;47.4057721
58;0.600459;47.4019674
59;0.5926368;47.3902089
60;0.5921545;47.4039257
61;0.5869635;47.4019196
62;0.5883205;47.4061282
63;0.5985347;47.3990318
64;0.5904623;47.3949415
65;0.5918125;47.3958985
66;0.5984151;47.3991316
67;0.5962511;47.4013291
68;0.595395;47.4026967
69;0.5905467;47.3959524
70;0.6100564;47.4093471
71;0.5971697;47.4069602
72;0.5909154;47.4047824
73;0.5969588;47.4070175
74;0.596926;47.4068709
75;0.5970683;47.406838
76;0.6037335;47.4093971
77;0.603815;47.4094907
78;0.6110374;47.4109301
79;0.5938268;47.4054326
80;0.6034189;47.4096756
81;0.5831531;47.4083055
82;0.5981164;47.3968274
83;0.6008402;47.3965668
84;0.6143689;47.4039906
85;0.6200851;47.4043933
86;0.5947029;47.4038936
87;0.5956374;47.4028541
88;0.5991058;47.3973382
89;0.6011432;47.4008283
90;0.585917;47.4073462
91;0.5997032;47.4045479
92;0.596059;47.4019316
93;0.6127852;47.4093015
94;0.599014;47.3973185
95;0.5874233;47.4020724
96;0.6000611;47.4039924
97;0.5917947;47.4052987
98;0.6083577;47.409816
99;0.6077624;47.4089484
100;0.5927382;47.4054269
101;0.608009;47.4093478
102;0.5925152;47.3984086
103;0.6091252;47.4108308
104;0.6102133;47.4119864
105;0.6171493;47.4029358
106;0.6117748;47.4073526
107;0.5875696;47.3986279
108;0.5907648;47.4055776
109;0.5987434;47.3973078
110;0.5986857;47.3973115
111;0.5989146;47.3973387
112;0.6164077;47.4027598
113;0.5921291;47.4053391
114;0.5931962;47.405426
115;0.5994782;47.4089245
116;0.5844543;47.3988938
117;0.5950664;47.3978639
118;0.5954053;47.4078932
119;0.5962151;47.4082113
120;0.6148962;47.4046768
121;0.5786428;47.399713
122;0.615645;47.40395
123;0.6152792;47.4046547
124;0.5839065;47.4010993
125;0.5838461;47.401118
126;0.6153764;47.4052151
127;0.6010028;47.4040851
128;0.600954;47.4039571
129;0.5836027;47.401308
130;0.6008788;47.4043884
131;0.6092258;47.3909156
132;0.60089;47.4068725
133;0.5972421;47.4110788
134;0.6089522;47.4106023
135;0.5928378;47.4076997
136;0.5964473;47.3977184
137;0.6008666;47.4044118
138;0.600837;47.4045519
139;0.6085267;47.4100403
140;0.6083271;47.4107906
141;0.6079251;47.4102444
142;0.5939736;47.4076042
143;0.6008642;47.4044205
144;0.6127566;47.4071971
145;0.5977445;47.4106583
146;0.6121123;47.4080745
147;0.5906552;47.4046244
148;0.6124047;47.4085279
149;0.6005244;47.4040825
150;0.6003665;47.404638
151;0.6091279;47.4080892
152;0.6081923;47.4101538
153;0.6174433;47.4057515
154;0.6100545;47.3907895
155;0.6001097;47.3956828
156;0.5860369;47.4023239
157;0.5965202;47.4031935
158;0.5982149;47.4111756
159;0.6103242;47.4097085
160;0.608679;47.4102412
161;0.609183;47.410078
162;0.6006686;47.4040378
163;0.6099052;47.4119894
164;0.606939;47.4078482
165;0.5947978;47.4082651
166;0.5880361;47.4019938
167;0.5955411;47.4127764
168;0.5941872;47.4075107
169;0.6008315;47.3966542
170;0.6009012;47.3971898
171;0.6009925;47.4041207
172;0.6008724;47.4042765
173;0.6006615;47.4042497
174;0.5991034;47.4069717
175;0.6097931;47.4120089
176;0.6112297;47.4063069
177;0.5967691;47.4099478
178;0.6004873;47.4055855
179;0.5980239;47.4109734
180;0.5960338;47.4119645
181;0.5975616;47.4037899
182;0.605971;47.4084047
183;0.5961783;47.4108203
184;0.6092327;47.3909433
185;0.5973968;47.4061899
186;0.5947214;47.408527
187;0.5953726;47.4107572
188;0.6030723;47.4127462
189;0.5965493;47.4102747
190;0.5935391;47.4072914
191;0.581643;47.4081237
192;0.5981414;47.4102648
193;0.583781;47.3983606
194;0.6065997;47.4022593
195;0.5847938;47.4048822
196;0.5987947;47.4068471
197;0.5978092;47.4105506
198;0.6068069;47.4022593
199;0.595441;47.4095101
200;0.606322;47.4029411
201;0.6065357;47.402945
202;0.6067536;47.4028416
203;0.6065461;47.4028342
204;0.5965712;47.3859469
205;0.5951972;47.4099405
206;0.6101968;47.3908587
207;0.5995958;47.4090731
208;0.6038104;47.4074313
209;0.6098467;47.392409
210;0.6064737;47.4006021
211;0.5947815;47.4106539
212;0.5960095;47.4127518
213;0.5957303;47.4127447
214;0.5942877;47.4131418
215;0.5931997;47.4133746
216;0.6082434;47.4140201
217;0.5932301;47.4019198
218;0.601008;47.4010215
219;0.5959041;47.4087208
220;0.5849846;47.4042305
221;0.6097119;47.4124169
222;0.6117368;47.4102053
223;0.6118107;47.4101476
224;0.5966372;47.3861777
225;0.6087694;47.413487
226;0.6017095;47.4096552
227;0.6020444;47.4095202
228;0.6018198;47.4101963
229;0.6018603;47.4102372
230;0.6118959;47.410002
231;0.6104092;47.4124099
232;0.6016648;47.4103215
233;0.6016262;47.4102774
234;0.6019232;47.4103114
235;0.6021396;47.410222
236;0.6020645;47.410253
237;0.6122238;47.4103771
238;0.5947305;47.4023004
239;0.603809;47.3976655
240;0.6028102;47.4110143
241;0.6098108;47.4124654
242;0.6025729;47.3975831
243;0.6064595;47.3979768
244;0.6051412;47.4057425
245;0.5853583;47.4075253
246;0.6134397;47.3957365
247;0.6010011;47.4047335
248;0.6014008;47.4045626
249;0.60183;47.4052619
250;0.6019873;47.4054104
251;0.6034557;47.4050052
252;0.603497;47.4048498
253;0.6049963;47.4048662
254;0.5904295;47.4049132
255;0.5907605;47.4050094
256;0.6049447;47.4058971
257;0.6175147;47.3962215
258;0.6079029;47.3949531
259;0.6061657;47.406017
260;0.5887123;47.413778
261;0.6093231;47.3928299
262;0.5809417;47.3965859
263;0.6088627;47.3925592
264;0.6008325;47.4047083
265;0.5989884;47.4073457
266;0.6179656;47.4047065
267;0.5928876;47.4007903
268;0.6099287;47.4125277
269;0.5858063;47.4083863
270;0.6060864;47.3916382
271;0.5927317;47.4007081
272;0.6104086;47.4120772
273;0.5900041;47.4141377
274;0.5924177;47.4007027
275;0.608613;47.4107244
276;0.5875968;47.4013184
277;0.6072638;47.4169136
278;0.5893561;47.4129476
279;0.5920674;47.4028904
280;0.6039646;47.3987496
281;0.5999161;47.3987326
282;0.6051737;47.3924904
283;0.6039811;47.4002053
284;0.6132437;47.4095935
