;geometry
2881349632;0.6847537;47.4185802
2739177986;0.6838379;47.4183519
477800450;0.6801996;47.4199454
6304480772;0.6831532;47.4180707
477800453;0.6801306;47.4202476
6304480771;0.6835652;47.4182415
2739177992;0.6836301;47.4183804
477800456;0.6803565;47.4193667
477800458;0.6796446;47.4194298
2739177995;0.6835927;47.4183855
6304480780;0.6830669;47.4181709
6304480781;0.6829613;47.418288
6304480782;0.6828346;47.4184352
476380687;0.6808504;47.4200357
6304480784;0.6826339;47.4186638
6304480783;0.6827308;47.4185559
6304480779;0.6831845;47.4180342
6304480778;0.6832639;47.4179484
5767720979;0.6842073;47.4185912
1035649559;0.6794314;47.4188706
2739178029;0.6840427;47.4188547
483408942;0.6833121;47.4172773
2739178034;0.6838219;47.4188918
7243402315;0.6826691;47.419707
483375701;0.6818584;47.4177188
5557937751;0.6812239;47.4205824
483375709;0.6823533;47.4174171
5268252263;0.6813196;47.4191081
5268252264;0.6808513;47.4190359
3106494068;0.6823366;47.4178597
3106503809;0.6826697;47.4187584
3106503811;0.682704;47.4188163
5557937807;0.6840027;47.4188881
5557937808;0.6840503;47.4188787
483409041;0.6825479;47.416582
5557937811;0.6842511;47.418681
304322717;0.6825797;47.4198622
304322718;0.6810843;47.4197687
6304483485;0.6825297;47.4187814
6304483487;0.6828944;47.4183585
6304483486;0.6823473;47.4181371
6304483488;0.6833074;47.4185195
482578089;0.6810652;47.4211711
1421786282;0.6841678;47.4184677
482578090;0.6807756;47.4211319
1035649202;0.6813665;47.4189472
482578111;0.6814086;47.4198106
482578112;0.6813788;47.4199265
483409095;0.6825393;47.416622
483409097;0.6802572;47.4178151
1035649229;0.6837759;47.4189
1035649245;0.6834083;47.4186431
257804533;0.6803177;47.421069
482537209;0.6811367;47.4209064
482537212;0.6817535;47.4209728
634855166;0.6836517;47.4185117
1035649300;0.6848507;47.4185911
1442553127;0.682651;47.4198687
2390632254;0.6842098;47.4185365
4952439103;0.6777623;47.4189445
6801679167;0.6805681;47.4205196
6801679169;0.6813665;47.4209312
6801679171;0.6812623;47.4204274
1035649386;0.6840017;47.4188655
2881349492;0.6834588;47.4173639
1035649398;0.6814139;47.4188045
1035649408;0.6834345;47.4187461
1035649416;0.6794643;47.4190183
2390628296;0.683471;47.4172627
2390628298;0.6834159;47.4173634
475987406;0.6838566;47.4184758
475987407;0.6839864;47.4187156
475987409;0.6835848;47.4186618
1035649492;0.6794468;47.418946
475987413;0.6840129;47.4185653
3106492899;0.6823029;47.4180259
477800421;0.6795288;47.4198704
3106492902;0.6835488;47.4181897
1421778407;0.6847719;47.418511
3106492903;0.6835962;47.41821
477800425;0.6788265;47.4198631
1035649514;0.6842258;47.4185852
6279139308;0.6777559;47.4190124
2881349613;0.6847908;47.4184395
3106492909;0.6827369;47.4183988
3106492911;0.6833654;47.4184496
475987437;0.6813884;47.4188828
3106492913;0.6826504;47.4185287
2390641650;0.683424;47.4186964
2390641651;0.6837479;47.418773
3106492916;0.6832407;47.4185904
2739177983;0.6838035;47.418353
