nodes;coordX;coordY
0;0.6769722;47.3501859
1;0.6848996;47.4113744
2;0.6911951;47.3899513
3;0.6910313;47.389959
4;0.677834;47.3502204
5;0.7355903;47.323585
6;0.735292;47.3237078
7;0.693936;47.3903291
8;0.4466725;47.3893001
9;0.6941836;47.3901161
10;0.7237828;47.3265081
11;0.6933637;47.3906297
12;0.6933197;47.3906303
13;0.6932837;47.3906292
14;0.6935416;47.3906697
15;0.6937024;47.3906939
16;0.6920005;47.3907987
17;0.6936626;47.3908281
18;0.6936815;47.3910268
19;0.6778055;47.3501286
20;0.6935828;47.4022039
21;0.6935785;47.4022116
22;0.6839117;47.4022329
23;0.6840306;47.4022546
24;0.7466161;47.3322027
25;0.6934666;47.4026084
26;0.6934959;47.4025257
27;0.6806148;47.3459622
28;0.7466451;47.3322428
29;0.6825656;47.4055299
30;0.6826934;47.4055545
31;0.6827677;47.4055684
32;0.681318;47.4085782
33;0.6814484;47.4086018
34;0.6804018;47.4093874
35;0.6802544;47.40939
36;0.6685438;47.4006477
37;0.6803145;47.4094396
38;0.67963;47.4096811
39;0.6722804;47.4004753
40;0.6779172;47.3498637
41;0.6686082;47.4004941
42;0.6770919;47.350025
43;0.6688256;47.4003569
44;0.6777821;47.3502647
45;0.6684761;47.4003668
46;0.6431953;47.3967492
47;0.6790315;47.3487121
48;0.6671683;47.4001975
49;0.677824;47.3504407
50;0.6456769;47.3980097
51;0.6656995;47.3613316
52;0.665022;47.3615615
53;0.6661455;47.3615998
54;0.6458561;47.3946901
55;0.6975923;47.4174411
56;0.6971705;47.4174692
57;0.6446716;47.392442
58;0.6462032;47.3941922
59;0.6551304;47.3343181
60;0.6405991;47.3916056
61;0.6784564;47.3505306
62;0.6551716;47.3347463
63;0.6773258;47.3497105
64;0.6550982;47.334016
65;0.6561751;47.3852225
66;0.6562005;47.3853417
67;0.6641731;47.299617
68;0.6843545;47.3456815
69;0.6531931;47.3346506
70;0.6456475;47.3959533
71;0.6459451;47.3958354
72;0.6454046;47.3956108
73;0.6453647;47.3958161
74;0.4975422;47.3622752
75;0.4978317;47.3624187
76;0.4990035;47.3633041
77;0.6573381;47.3857151
78;0.6593485;47.3865507
79;0.5392315;47.3919084
80;0.5388461;47.391753
81;0.4955401;47.3615193
82;0.6771844;47.3499007
83;0.667799;47.4230094
84;0.6725221;47.4251832
85;0.6127566;47.4071971
86;0.6121123;47.4080745
87;0.6124047;47.4085279
88;0.6091279;47.4080892
89;0.662029;47.3876421
90;0.7117635;47.3919217
91;0.7140811;47.3918128
92;0.7120342;47.3923772
93;0.7151134;47.3917956
94;0.7140878;47.392032
95;0.7116418;47.3923266
96;0.7123392;47.392419
97;0.7146354;47.3918088
98;0.6671608;47.4328475
99;0.7331285;47.3916057
100;0.6438916;47.4292492
101;0.6639776;47.3890233
102;0.6438848;47.4293541
103;0.68498;47.3965837
104;0.6340155;47.3676886
105;0.701828;47.4124663
106;0.7;47.4056118
107;0.69886;47.4055706
108;0.6370154;47.368395
109;0.6272268;47.3393057
110;0.6568459;47.3817914
111;0.661145;47.3805807
112;0.658315;47.3442947
113;0.6456249;47.3955241
114;0.7094393;47.3310919
115;0.6407007;47.4313546
116;0.6823108;47.3960246
117;0.7467281;47.3323529
118;0.7467392;47.3324203
119;0.6810129;47.3960594
120;0.7172452;47.3325307
121;0.5451572;47.345338
122;0.5447857;47.3465284
123;0.678655;47.3689707
124;0.5446196;47.346087
125;0.5449098;47.3461307
126;0.7449814;47.3330483
127;0.7446928;47.3330797
128;0.6304304;47.4385604
129;0.7454775;47.3328657
130;0.6785592;47.3689118
131;0.6319815;47.4388847
132;0.7517338;47.3373936
133;0.7526825;47.3384634
134;0.6419795;47.4321501
135;0.6766449;47.3643409
136;0.6765684;47.3643844
137;0.6807328;47.3654824
138;0.6807455;47.3655142
139;0.6291968;47.4386727
140;0.6800819;47.3655522
141;0.6800819;47.3656042
142;0.6806344;47.3656219
143;0.6320564;47.4392896
144;0.6810069;47.365518
145;0.6804866;47.3658598
146;0.6377934;47.4361493
147;0.6739937;47.4325067
148;0.7442371;47.3470072
149;0.7139739;47.3887214
150;0.7405191;47.3502485
151;0.7403738;47.3502654
152;0.7405204;47.3503236
153;0.6816175;47.367734
154;0.7404203;47.3503546
155;0.682059;47.3962086
156;0.6814319;47.367735
157;0.6842337;47.3962428
158;0.6481935;47.3707182
159;0.6814386;47.3677923
160;0.6302431;47.4399036
161;0.7129303;47.388663
162;0.7117442;47.3886419
163;0.6783966;47.3963358
164;0.6785625;47.3963718
165;0.6790653;47.3964863
166;0.6849653;47.3965641
167;0.6784467;47.3965882
168;0.6784712;47.3966816
169;0.6787909;47.3967353
170;0.6840192;47.4157157
171;0.6840904;47.415837
172;0.6828692;47.3968291
173;0.6726082;47.3651414
174;0.6837436;47.3969225
175;0.7117916;47.3882761
176;0.6930894;47.3974404
177;0.7074219;47.3389654
178;0.6877033;47.3976102
179;0.7071993;47.3389154
180;0.7074145;47.3390409
181;0.605148;47.4024104
182;0.7129167;47.3893087
183;0.7300517;47.384046
184;0.6349065;47.3661908
185;0.6047781;47.4016141
186;0.7308832;47.3826584
187;0.6411319;47.434519
188;0.6414355;47.4364481
189;0.6061857;47.4016034
190;0.6062351;47.4027355
191;0.6056316;47.4016342
192;0.6836157;47.3963809
193;0.6064213;47.4015994
194;0.6395781;47.4397146
195;0.6785541;47.3963939
196;0.6788629;47.3964473
197;0.6788576;47.3964588
198;0.6841555;47.3964656
199;0.6788896;47.396469
200;0.6142022;47.3435475
201;0.6537964;47.3811543
202;0.6533867;47.3818687
203;0.6545726;47.3817179
204;0.6541653;47.3819283
205;0.6466023;47.398197
206;0.6543994;47.3818074
207;0.5634962;47.3861565
208;0.5639492;47.385136
209;0.6141335;47.3436763
210;0.566196;47.3860878
211;0.6857132;47.3673963
212;0.6427993;47.346717
213;0.6399608;47.3462373
214;0.6408459;47.3473998
215;0.6398271;47.4425573
216;0.6112304;47.3554941
217;0.642652;47.3487361
218;0.6425317;47.3500789
219;0.6448833;47.3501306
220;0.6443182;47.3488482
221;0.6160249;47.3428221
222;0.6401046;47.443918
223;0.6439573;47.348959
224;0.615941;47.3426991
225;0.6159807;47.342682
226;0.6159246;47.342645
227;0.643225;47.3552325
228;0.704688;47.3651582
229;0.6413771;47.3543587
230;0.6391211;47.4429142
231;0.7044282;47.365231
232;0.6172671;47.3417362
233;0.6388139;47.4430559
234;0.6368561;47.4431105
235;0.6157219;47.3421203
236;0.5571567;47.362078
237;0.5970875;47.3893143
238;0.616753;47.3423069
239;0.5076065;47.3392479
240;0.6731174;47.3666735
241;0.5074568;47.3392555
242;0.5976762;47.3893334
243;0.6410598;47.4433641
244;0.6403649;47.4437218
245;0.7724964;47.4530959
246;0.6207971;47.3437204
247;0.6196022;47.3436025
248;0.6529393;47.3390095
249;0.6526348;47.3390274
250;0.609915;47.355512
251;0.6531015;47.3390346
252;0.6091676;47.3563897
253;0.6083548;47.3566536
254;0.6948719;47.3790346
255;0.5811526;47.4093007
256;0.5829604;47.4107221
257;0.5813597;47.4086841
258;0.5326513;47.3493593
259;0.5817609;47.4091022
260;0.7576713;47.3592348
261;0.5225873;47.3499648
262;0.5808266;47.4080413
263;0.5314341;47.3513446
264;0.5071559;47.3655085
265;0.6914308;47.3456842
266;0.6913529;47.3450633
267;0.6903308;47.3454474
268;0.5057993;47.3653047
269;0.6596618;47.3484501
270;0.6601528;47.3485046
271;0.6589651;47.3485218
272;0.6603016;47.3891161
273;0.6596264;47.348587
274;0.6638343;47.3572742
275;0.6633167;47.3568326
276;0.6635988;47.3567535
277;0.6640599;47.3571494
278;0.5819912;47.4052408
279;0.6642282;47.3570562
280;0.6598401;47.3893257
281;0.6637927;47.3566992
282;0.6598373;47.3897825
283;0.6600252;47.3898334
284;0.6601938;47.3898858
285;0.6617866;47.3512745
286;0.6619634;47.3512695
287;0.5690282;47.3524325
288;0.7107221;47.3722116
289;0.6591005;47.3520859
290;0.6592382;47.352324
291;0.5683022;47.3529958
292;0.6590005;47.3524644
293;0.658912;47.352583
294;0.6590455;47.3521574
295;0.6590965;47.3525006
296;0.6592815;47.3528953
297;0.6594456;47.3526322
298;0.6593579;47.3527797
299;0.6717402;47.3746676
300;0.6607611;47.3526625
301;0.6732229;47.3744615
302;0.6596442;47.3528705
303;0.6595351;47.3530146
304;0.6863315;47.3968345
305;0.6905587;47.4265438
306;0.6642817;47.3370833
307;0.6721586;47.3860492
308;0.6730073;47.3862464
309;0.7050669;47.4106486
310;0.705028;47.4110773
311;0.7048389;47.41064
312;0.680105;47.3635705
313;0.6792206;47.363547
314;0.7048081;47.411067
315;0.6809455;47.3635361
316;0.6814318;47.3636786
317;0.6794542;47.3635282
318;0.6799748;47.363711
319;0.6799353;47.3637137
320;0.7056021;47.4110977
321;0.7054035;47.411643
322;0.704682;47.4115922
323;0.7048912;47.4116122
324;0.7049449;47.411476
325;0.7051328;47.4110813
326;0.7547964;47.417471
327;0.5905889;47.4000306
328;0.5902738;47.4007748
329;0.6980817;47.4047889
330;0.7006232;47.4048278
331;0.6132805;47.3342574
332;0.7032313;47.4122169
333;0.703244;47.412347
334;0.625533;47.3264409
335;0.709985;47.3725208
336;0.6575331;47.3571052
337;0.7049008;47.418822
338;0.666807;47.3906372
339;0.7049407;47.4188868
340;0.7145615;47.3201192
341;0.7149542;47.319252
342;0.7114006;47.316527
343;0.7049406;47.4189534
344;0.6909394;47.3390978
345;0.6901063;47.3544729
346;0.7111855;47.317203
347;0.7040596;47.420958
348;0.7038395;47.4210887
349;0.6924214;47.3401151
350;0.6213837;47.3195489
351;0.7027212;47.4215913
352;0.7001004;47.4228378
353;0.6998986;47.422887
354;0.6924216;47.3402957
355;0.6224147;47.3203573
356;0.6852934;47.3534285
357;0.6799643;47.3639732
358;0.6226583;47.3208582
359;0.6770957;47.3640857
360;0.6802255;47.3645779
361;0.6221711;47.3198159
362;0.6226217;47.3201978
363;0.6803031;47.3651684
364;0.680453;47.3653536
365;0.6804091;47.365358
366;0.6803095;47.3653666
367;0.6911973;47.339225
368;0.6232695;47.3204384
369;0.690256;47.3376809
370;0.680736;47.3679007
371;0.6807835;47.3679492
372;0.6805344;47.3680044
