;start_node;end_node;distance;danger;converted;cyclability;section_id;way_id;is_following_way;facility;road_type;is_DSC;nodes;geometry
260;56532164;1822716154;73.82140826288793;84.8946195023211;False;3.0;115546949;7749742;False;;unclassified;False;[56532164, 1822716140, 1822716142, 56532238, 1822716154];[(0.604858, 47.3627413), (0.6046692, 47.3627865), (0.604484, 47.3628157), (0.6041652, 47.3628639), (0.6039067, 47.362885)]
261;1822716154;8483529539;121.01084564062567;139.1624724867195;False;3.0;115546950;7749742;False;;unclassified;False;[1822716154, 56532242, 4702444248, 1822716146, 8483529539];[(0.6039067, 47.362885), (0.6037072, 47.3628879), (0.6032398, 47.3628684), (0.6029889, 47.3628579), (0.6023153, 47.3627822)]
262;8483529539;4702444239;181.29580644356884;208.4901774101041;False;3.0;115546951;7749742;False;;unclassified;False;[8483529539, 56532245, 1822716138, 1822716139, 1822716141, 4701567846, 4701567845, 1822716150, 4702444239];[(0.6023153, 47.3627822), (0.6022992, 47.3627804), (0.6021553, 47.3627689), (0.6019948, 47.362776), (0.6017213, 47.3628045), (0.6014502, 47.3628278), (0.6011791, 47.3628439), (0.6009909, 47.3628469), (0.5999237, 47.3628266)]
525;430059019;2312691955;2.032384088086618;2.946956927725596;False;1.0;115547216;11539497;False;;secondary;False;[430059019, 2312691955];[(0.6078465, 47.3591807), (0.6078709, 47.359173)]
526;102881815;430059019;11.16490371112841;16.189110381136196;False;1.0;115547215;11539497;False;;secondary;False;[102881815, 7055625175, 2312691998, 430059019];[(0.6077819, 47.3592659), (0.607787, 47.3592326), (0.6078095, 47.3592029), (0.6078465, 47.3591807)]
527;102881810;102881815;18.76853291620764;27.214372728501072;False;1.0;115547214;11539497;False;;secondary;False;[102881810, 2312692112, 2312692133, 102881819, 2312692092, 430059014, 102881815];[(0.6079649, 47.3593422), (0.6079245, 47.3593485), (0.6078832, 47.3593462), (0.607845, 47.3593354), (0.6078135, 47.3593171), (0.6077917, 47.3592932), (0.6077819, 47.3592659)]
528;2312691955;430059017;4.277712164378464;6.202682638348772;False;1.0;115547217;11539497;False;;secondary;False;[2312691955, 7684402247, 430059017];[(0.6078709, 47.359173), (0.6078984, 47.3591687), (0.6079268, 47.3591683)]
529;430059017;102881812;11.285358987308548;16.363770531597396;False;1.0;115547218;11539497;False;;secondary;False;[430059017, 7684402246, 2312691940, 7684402245, 102881812];[(0.6079268, 47.3591683), (0.6079632, 47.3591741), (0.6079958, 47.3591865), (0.6080221, 47.3592046), (0.6080399, 47.3592268)]
530;102881812;7055625183;5.406329487691412;7.839177757152547;False;1.0;115547219;11539497;False;;secondary;False;[102881812, 430059018, 7055625183];[(0.6080399, 47.3592268), (0.6080478, 47.3592505), (0.6080461, 47.3592748)]
531;7055625183;102881810;10.075595002151934;14.609612753120302;False;1.0;115547220;11539497;False;;secondary;False;[7055625183, 7684402243, 2312692053, 7684402244, 102881810];[(0.6080461, 47.3592748), (0.608036, 47.3592963), (0.6080183, 47.3593155), (0.6079941, 47.3593311), (0.6079649, 47.3593422)]
