;geometry
2312692740;(0.6182432, 47.3607283)
2064005638;(0.6118517, 47.3689443)
1686216200;(0.622786, 47.3625155)
2064005640;(0.6115517, 47.3691097)
430059017;(0.6079268, 47.3591683)
430059019;(0.6078465, 47.3591807)
5757441549;(0.6059512, 47.3570949)
5757441550;(0.6054895, 47.3574903)
102881810;(0.6079649, 47.3593422)
102881812;(0.6080399, 47.3592268)
102881815;(0.6077819, 47.3592659)
5757441603;(0.6061605, 47.3569532)
4595152966;(0.6092759, 47.3595586)
9251003487;(0.6078384, 47.3581378)
9251003489;(0.6059718, 47.3588381)
2312692841;(0.6182017, 47.3608486)
2312691822;(0.60841, 47.358996)
8182102128;(0.6082439, 47.3586017)
469251697;(0.6090796, 47.3584097)
4699726962;(0.613958, 47.3659348)
1969161331;(0.6169327, 47.3577814)
3439767156;(0.6070907, 47.3590925)
469251698;(0.6095573, 47.3585423)
3439767158;(0.6042074, 47.3626026)
3439767159;(0.6041066, 47.3626876)
8182102135;(0.6079008, 47.3584149)
1969161336;(0.6162774, 47.3580184)
8182102137;(0.6084848, 47.3583189)
1969161338;(0.6142919, 47.3580734)
1969161340;(0.6100384, 47.3582184)
8182102142;(0.6086221, 47.3580223)
1969161344;(0.6127804, 47.3604149)
2312691840;(0.606772, 47.3589934)
1969161345;(0.6124905, 47.3607062)
469251716;(0.612396, 47.3602712)
1969161354;(0.6095054, 47.3609812)
1969161365;(0.6102891, 47.3612001)
1969161370;(0.6091872, 47.3614619)
56532140;(0.6282097, 47.3703861)
56532164;(0.604858, 47.3627413)
4702444239;(0.5999237, 47.3628266)
4303483096;(0.6104584, 47.3600224)
4303483097;(0.6106013, 47.3597494)
1822716123;(0.6055853, 47.3615191)
9296538854;(0.6079754, 47.358833)
9296538855;(0.6076365, 47.3586488)
56532208;(0.6124796, 47.3665585)
8902068979;(0.607961, 47.3578888)
2312691955;(0.6078709, 47.359173)
8902068980;(0.608312, 47.3579553)
4397184762;(0.6053652, 47.3572625)
1822716154;(0.6039067, 47.362885)
9748783354;(0.6228406, 47.3623054)
2312692498;(0.6185489, 47.3604034)
5308876567;(0.6086066, 47.3580188)
5308876568;(0.6093336, 47.3581826)
1541302051;(0.6199575, 47.3620574)
8428849468;(0.6158955, 47.3595768)
8428849469;(0.6162421, 47.359219)
8428849470;(0.6161122, 47.3597337)
8428849471;(0.6158397, 47.359566)
8428849472;(0.6153695, 47.3594746)
8428849473;(0.61555, 47.3590285)
8483529535;(0.6027576, 47.3630247)
8483529539;(0.6023153, 47.3627822)
3439767880;(0.6052511, 47.3616742)
3439767881;(0.605207, 47.361714)
2312692554;(0.6189061, 47.3604409)
3439767882;(0.6049933, 47.3619058)
3439767883;(0.6049504, 47.3619436)
3439767884;(0.6048857, 47.3620006)
3439767886;(0.6044302, 47.3624022)
9724271452;(0.6227025, 47.3622287)
332438878;(0.6082062, 47.3594352)
4699672932;(0.6234769, 47.3700902)
475095397;(0.6161679, 47.3566478)
4699672933;(0.6245004, 47.3668433)
4701200744;(0.6092111, 47.3598461)
2312692073;(0.6083148, 47.3593302)
416828280;(0.6081953, 47.35908)
7448847742;(0.6078768, 47.3582133)
475095425;(0.6157661, 47.3587146)
2079362438;(0.6123709, 47.3664387)
416828299;(0.608271, 47.3571328)
102881679;(0.6155477, 47.3609548)
475095440;(0.6147249, 47.3607872)
7448847760;(0.6067129, 47.3592435)
2312693162;(0.6064197, 47.3615248)
1700187571;(0.6228126, 47.3625226)
2312692149;(0.613973, 47.3595844)
2312693179;(0.6178714, 47.3618131)
945339835;(0.6058087, 47.3581146)
4701187530;(0.6103822, 47.3651736)
2312693196;(0.6183905, 47.36193)
2312692181;(0.6086114, 47.3595362)
7055625183;(0.6080461, 47.3592748)
9346512369;(0.6072426, 47.3637985)
9346512370;(0.6072886, 47.3638091)
2312692724;(0.6202015, 47.3605482)
2312692727;(0.6131382, 47.3605368)
