;start_node;end_node;distance;danger;converted;cyclability;section_id;way_id;is_following_way;facility;road_type;is_DSC;nodes;geometry
1669;304322718;482578111;25.2363710010789;29.021826651240733;False;3.0;115548358;27713464;False;bande uni;residential;False;[304322718, 5268252246, 5557937752, 482578111];[(0.6810843, 47.4197687), (0.6811544, 47.4197932), (0.6812068, 47.4197988), (0.6814086, 47.4198106)]
1670;482578111;304322717;88.55576375724701;101.83912832083404;False;3.0;115548359;27713464;False;bande uni;residential;False;[482578111, 1442553124, 304322717];[(0.6814086, 47.4198106), (0.6821796, 47.4198431), (0.6825797, 47.4198622)]
1671;304322717;1442553127;5.428482402020826;6.242754762323949;False;3.0;115548360;27713464;False;bande uni;residential;False;[304322717, 1442553127];[(0.6825797, 47.4198622), (0.682651, 47.4198687)]
1673;1035649386;5557937807;2.513778427090669;2.890845191154269;False;3.0;115548363;27713505;False;;residential;False;[1035649386, 5557937807];[(0.6840017, 47.4188655), (0.6840027, 47.4188881)]
1675;475987407;1035649386;16.834268668493536;19.359408968767564;False;3.0;115548362;27713505;False;;residential;False;[475987407, 2881349662, 1035649386];[(0.6839864, 47.4187156), (0.6839796, 47.4187834), (0.6840017, 47.4188655)]
4909;475987409;634855166;18.253510595923665;26.46759036408931;False;1.0;115551598;39698376;False;;secondary;False;[475987409, 634855161, 634855164, 475987411, 634855166];[(0.6835848, 47.4186618), (0.6835781, 47.418621), (0.6835877, 47.4185805), (0.6836128, 47.4185432), (0.6836517, 47.4185117)]
4910;634855166;475987406;16.576151942920077;24.035420317234117;False;1.0;115551599;39698376;False;;secondary;False;[634855166, 2739178009, 7306345783, 2739178007, 7306345784, 2739178005, 475987406];[(0.6836517, 47.4185117), (0.6836965, 47.4184901), (0.6837368, 47.4184794), (0.6837476, 47.4184765), (0.6837807, 47.4184735), (0.683802, 47.4184716), (0.6838566, 47.4184758)]
4911;475987406;475987413;15.97613109476256;23.16539008740571;False;1.0;115551600;39698376;False;;secondary;False;[475987406, 634855169, 475987412, 634855170, 475987413];[(0.6838566, 47.4184758), (0.6839064, 47.4184881), (0.6839506, 47.4185079), (0.6839867, 47.4185341), (0.6840129, 47.4185653)]
4915;475987409;2390641650;12.72911428829393;18.4572157180262;False;1.0;115551604;39698381;False;;secondary;False;[475987409, 2390641650];[(0.6835848, 47.4186618), (0.683424, 47.4186964)]
4916;2390641650;3106503811;55.942436569609725;81.1165330259341;False;1.0;115551605;39698381;False;;secondary;False;[2390641650, 3106503811];[(0.683424, 47.4186964), (0.682704, 47.4188163)]
4922;476380687;477800450;50.28222569657619;57.82455955106261;False;3.0;115551611;39734486;False;;residential;False;[476380687, 5557909863, 476380714, 477800450];[(0.6808504, 47.4200357), (0.6807704, 47.4200149), (0.6807324, 47.420005), (0.6801996, 47.4199454)]
4923;477800450;477800421;51.29949573716715;58.99442009774221;False;3.0;115551612;39734486;False;;residential;False;[477800450, 477800421];[(0.6801996, 47.4199454), (0.6795288, 47.4198704)]
4924;477800421;477800425;53.3371345937188;61.33770478277662;False;3.0;115551613;39734486;False;;residential;False;[477800421, 476380717, 476380719, 477800425];[(0.6795288, 47.4198704), (0.6792959, 47.4198444), (0.6790472, 47.4198462), (0.6788265, 47.4198631)]
5119;477800450;477800453;33.99933177744764;39.09923154406478;False;3.0;115551808;39851895;False;;residential;False;[477800450, 477800453];[(0.6801996, 47.4199454), (0.6801306, 47.4202476)]
5120;477800456;477800450;65.41955138902658;75.23248409738056;False;3.0;115551809;39851896;False;;residential;False;[477800456, 477800450];[(0.6803565, 47.4193667), (0.6801996, 47.4199454)]
5121;477800421;477800458;49.75872990590448;57.22253939179015;False;3.0;115551810;39851897;False;;residential;False;[477800421, 477800458];[(0.6795288, 47.4198704), (0.6796446, 47.4194298)]
5353;482578111;482578112;13.080382070866078;15.042439381495988;False;3.0;115552042;40098145;False;;residential;False;[482578111, 482578112];[(0.6814086, 47.4198106), (0.6813788, 47.4199265)]
5354;482578112;6801679171;56.37914173243438;64.83601299229953;False;3.0;115552043;40098145;False;;residential;False;[482578112, 6801679171];[(0.6813788, 47.4199265), (0.6812623, 47.4204274)]
5355;6801679171;5557937751;17.47465457046636;20.09585275603631;False;3.0;115552044;40098145;False;;residential;False;[6801679171, 5557937751];[(0.6812623, 47.4204274), (0.6812239, 47.4205824)]
5356;5557937751;482537209;36.61802195918118;42.11072525305835;False;3.0;115552045;40098145;False;;residential;False;[5557937751, 482537209];[(0.6812239, 47.4205824), (0.6811367, 47.4209064)]
5357;482578112;304322717;109.27467028360589;142.05707136868764;False;2.0;115552046;40098146;False;;service;False;[482578112, 5557909868, 482578114, 304322717];[(0.6813788, 47.4199265), (0.6821431, 47.4200117), (0.6825273, 47.4200522), (0.6825797, 47.4198622)]
5385;482537212;6801679169;29.56569555295374;34.0005498858968;False;3.0;115552074;40099169;False;;residential;False;[482537212, 5557937754, 6801679169];[(0.6817535, 47.4209728), (0.6816788, 47.4209648), (0.6813665, 47.4209312)]
5386;6801679169;482537209;17.55778170982316;20.191448966296637;False;3.0;115552075;40099169;False;;residential;False;[6801679169, 482537209];[(0.6813665, 47.4209312), (0.6811367, 47.4209064)]
16981;1035649416;1035649202;144.34422594026609;144.34422594026609;True;4.0;115563670;89234332;False;piste uni;cycleway;False;[1035649416, 1035649401, 1035649476, 1035649354, 1035649444, 1035649138, 1035649258, 1035649039, 1035649202];[(0.6794643, 47.4190183), (0.6795564, 47.4190117), (0.6797569, 47.4189888), (0.6799764, 47.418969), (0.6803919, 47.4189386), (0.680634, 47.4189195), (0.6808141, 47.418921), (0.6810664, 47.4189317), (0.6813665, 47.4189472)]
16982;1035649202;1035649408;158.66455654802516;158.66455654802516;True;4.0;115563671;89234332;False;piste uni;cycleway;False;[1035649202, 5546252273, 5546252274, 1035649291, 1035649077, 5546252275, 1035649234, 1035649539, 1035649641, 1035649584, 1035649689, 1035649408];[(0.6813665, 47.4189472), (0.68145, 47.4189415), (0.6814969, 47.4189326), (0.6815322, 47.4189288), (0.6819108, 47.4189431), (0.6820249, 47.4189453), (0.6821619, 47.4189355), (0.6823759, 47.4189104), (0.6826607, 47.4188639), (0.6829873, 47.4188113), (0.6833273, 47.4187603), (0.6834345, 47.4187461)]
16983;1035649416;1035649492;8.14599079880653;8.14599079880653;True;4.0;115563672;89234341;False;piste uni;cycleway;False;[1035649416, 1035649492];[(0.6794643, 47.4190183), (0.6794468, 47.418946)]
16984;1035649492;1035649559;8.463060204474091;8.463060204474091;True;4.0;115563673;89234341;False;piste uni;cycleway;False;[1035649492, 1035649559];[(0.6794468, 47.418946), (0.6794314, 47.4188706)]
21127;1421786282;2881349613;47.62827173376933;69.06099401396553;False;1.0;115567815;128732227;False;piste trottoir uni;footway;False;[1421786282, 1035649330, 1035649237, 4615116156, 1035649494, 1035649418, 2881349613];[(0.6841678, 47.4184677), (0.6842426, 47.4184507), (0.6843989, 47.4184298), (0.68443, 47.4184292), (0.6845382, 47.4184269), (0.6847001, 47.4184307), (0.6847908, 47.4184395)]
21143;2739177983;475987406;14.228632319519113;16.36292716744698;False;3.0;115567832;128733226;False;;residential;False;[2739177983, 475987406];[(0.6838035, 47.418353), (0.6838566, 47.4184758)]
21144;1035649514;2881349632;40.29314141889177;40.29314141889177;True;4.0;115567833;128733227;False;piste uni;cycleway;False;[1035649514, 1035649381, 1035649470, 1035649196, 2881349632];[(0.6842258, 47.4185852), (0.684337, 47.4185626), (0.6845614, 47.4185683), (0.6846953, 47.4185736), (0.6847537, 47.4185802)]
21145;2881349632;1035649300;7.419256927937687;7.419256927937687;True;4.0;115567834;128733227;False;piste uni;cycleway;False;[2881349632, 1035649300];[(0.6847537, 47.4185802), (0.6848507, 47.4185911)]
21155;1035649245;3106503809;57.19560756195603;57.19560756195603;True;4.0;115567844;128733229;False;piste uni;cycleway;False;[1035649245, 1035649350, 3106503809];[(0.6834083, 47.4186431), (0.683104, 47.4186869), (0.6826697, 47.4187584)]
21156;3106503809;6304483485;10.869430498620511;10.869430498620511;True;4.0;115567845;128733229;False;piste uni;cycleway;False;[3106503809, 6304483485];[(0.6826697, 47.4187584), (0.6825297, 47.4187814)]
21157;6304483485;1035649398;85.2784790767449;85.2784790767449;True;4.0;115567846;128733229;False;piste uni;cycleway;False;[6304483485, 1035649199, 1035649302, 1035649599, 5546252276, 1035649035, 1035649552, 1035649660, 1035649398];[(0.6825297, 47.4187814), (0.6823637, 47.4188088), (0.6822061, 47.4188326), (0.6820787, 47.4188431), (0.6820143, 47.4188452), (0.6819334, 47.4188466), (0.6818204, 47.4188412), (0.6815713, 47.4188269), (0.6814139, 47.4188045)]
21158;1035649398;1035649559;150.14014933542032;150.14014933542032;True;4.0;115567847;128733229;False;piste uni;cycleway;False;[1035649398, 1035649569, 1035649685, 1035649406, 1035649489, 1035649360, 1035649447, 1035649160, 1035649268, 1035649559];[(0.6814139, 47.4188045), (0.6811308, 47.4188069), (0.6808169, 47.4187936), (0.6806508, 47.4187898), (0.6804622, 47.4187983), (0.6802609, 47.4188164), (0.6798514, 47.4188488), (0.6796628, 47.4188602), (0.6795375, 47.4188622), (0.6794314, 47.4188706)]
21159;1035649559;4952439103;126.79090514602883;126.79090514602883;True;4.0;115567848;128733229;False;piste uni;cycleway;False;[1035649559, 1035649066, 1035649210, 1035649521, 1035649618, 1035649487, 1035649564, 1035649310, 4952439103];[(0.6794314, 47.4188706), (0.6793588, 47.4188764), (0.6791533, 47.4189002), (0.6789379, 47.4189212), (0.6786269, 47.418946), (0.6783187, 47.4189669), (0.6781033, 47.4189679), (0.6779063, 47.4189564), (0.6777623, 47.4189445)]
21169;1421778407;2390632254;42.9344788457701;62.25499432636664;False;1.0;115567858;128733522;False;;secondary;False;[1421778407, 475987427, 475987431, 1421778409, 2390632254];[(0.6847719, 47.418511), (0.6846384, 47.4184975), (0.6844725, 47.4185028), (0.6843058, 47.4185184), (0.6842098, 47.4185365)]
21170;2390632254;475987413;15.199176896942449;22.03880650056655;False;1.0;115567859;128733522;False;;secondary;False;[2390632254, 475987413];[(0.6842098, 47.4185365), (0.6840129, 47.4185653)]
21322;482578089;482578090;22.28251113328867;25.62488780328197;False;3.0;115568011;130994344;False;;residential;False;[482578089, 482578090];[(0.6810652, 47.4211711), (0.6807756, 47.4211319)]
21323;482578090;257804533;35.25572011187552;40.54407812865684;False;3.0;115568012;130994344;False;;residential;False;[482578090, 4823756783, 257804533];[(0.6807756, 47.4211319), (0.6803842, 47.4210765), (0.6803177, 47.421069)]
21324;482537209;482578089;29.919544000584352;34.407475600672;False;3.0;115568013;130994567;False;;residential;False;[482537209, 482578089];[(0.6811367, 47.4209064), (0.6810652, 47.4211711)]
21822;475987437;1035649398;8.915444652688945;10.252761350592287;False;3.0;115568511;136794912;False;;residential;False;[475987437, 1035649398];[(0.6813884, 47.4188828), (0.6814139, 47.4188045)]
21823;1035649398;483375701;127.0517658069544;146.10953067799755;False;3.0;115568512;136794912;False;;residential;False;[1035649398, 7104349616, 304322776, 483375701];[(0.6814139, 47.4188045), (0.6814273, 47.4187469), (0.681726, 47.4178187), (0.6818584, 47.4177188)]
21832;257804533;6801679167;63.93735325438077;73.52795624253788;False;3.0;115568521;136794915;False;;residential;False;[257804533, 4823756780, 6801679167];[(0.6803177, 47.421069), (0.6803421, 47.4210161), (0.6805681, 47.4205196)]
21833;6801679167;476380687;58.09963940745112;66.81458531856879;False;3.0;115568522;136794915;False;;residential;False;[6801679167, 304322719, 2888963684, 2888963612, 476380687];[(0.6805681, 47.4205196), (0.6806218, 47.4204015), (0.6806715, 47.4202899), (0.6807706, 47.420127), (0.6808504, 47.4200357)]
